                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
     'spinw.validate'                                                       1         5.6854         4.317e+05              76688           33472         20.854         4.7851           17.552     
     '@spinw/private/datastruct'                                            2        0.08024             29968                272            6768        0.29432        0.08024          0.29432     
     'spinw.spinw>spinw.spinw'                                              1         6.6185        5.3131e+05              79152           33472         24.277        0.07944          0.29139     
     'num2str'                                                              9        0.86013             44848               2240           12704          3.155        0.63526           2.3302     
     'int2str'                                                              9        0.22487             10208                  0            2256        0.82484        0.22487          0.82484     
     'spinw.spinw>spinw.addlistenermulti'                                   2       0.078559             39120               7808            4832        0.28816       0.046609          0.17096     
     'spinw.spinw>spinw.addlistener'                                        5        0.03195             11904                  0            3904        0.11719        0.03195          0.11719     
     'profile_spinwave'                                                     1         27.241        5.2309e+07         4.8907e+07       3.672e+06         99.921       0.053039          0.19455     
     'swfiles/private/sw_issymspec'                                         3       0.059819              5616                  0            2304        0.21942       0.059819          0.21942     
     'sumn'                                                                 1       0.023094              1904         2.7509e+05             880        0.08471       0.023094          0.08471     
     'sw_resconv'                                                           1       0.049856             60352               1376           47648        0.18287       0.041534          0.15235     
     'gaussfwhm'                                                            1       0.008322                 0               1376               0       0.030525       0.008322         0.030525     
     'BiFeO3'                                                               1         27.246        5.2326e+07         4.8907e+07       3.672e+06          99.94       0.005169          0.01896     
     'run'                                                                  1         27.253        5.2343e+07         4.8907e+07       3.672e+06         99.964       0.006486         0.023791     
     'run_performance_tests'                                                1         27.263        5.2354e+07         4.8907e+07       3.672e+06            100        0.00978         0.035873     

